Fire Name,Year,Fire_ID,Fire_SegID,Database,State,UTM_Zone,UTM_X,UTM_Y,Response,StormDate,GaugeDist_m,StormStart,StormEnd,StormDur_H,StormAccum_mm,StormAvgI_mm/h,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,ContributingArea_km2,PropHM23,dNBR/1000,KF,Acc015_mm,Acc030_mm,Acc060_mm,ID,Missing_Data,Latitude,Longitude,KF_Acc015
1,2005,1,16,Training,1,11,532280.1647,3749794.79,0,2006-03-10 00:00:00,3535.95,2006-03-10 09:47:00,2006-03-11 20:38:00,34.85,24.89,0.71,9.14,7.62,4.06,3.5556591,0.021712091,0.069520134,0.0554303,2.285,3.81,4.06,17,0,33.88801989716144,-116.65090845026911,0.12665823550000002
1,2005,1,16,Training,1,11,532280.1647,3749794.79,0,2006-02-27 00:00:00,3535.95,2006-02-27 19:21:00,2006-02-28 10:24:00,15.067,38.1,2.53,7.11,6.1,5.33,3.5556591,0.021712091,0.069520134,0.0554303,1.7775,3.05,5.33,18,0,33.88801989716144,-116.65090845026911,0.09852735825
1,2005,1,17,Training,1,11,534595.1647,3749114.79,0,2006-03-10 00:00:00,782.874116,2006-03-10 09:47:00,2006-03-11 20:38:00,34.85,24.89,0.71,9.14,7.62,4.06,1.9021167,0.079713044,0.07606485,0.0542726,2.285,3.81,4.06,19,0,33.88181357469084,-116.62590026851468,0.124012891
1,2005,1,17,Training,1,11,534595.1647,3749114.79,0,2006-02-27 00:00:00,782.874116,2006-02-27 19:21:00,2006-02-28 10:24:00,15.067,38.1,2.53,7.11,6.1,5.33,1.9021167,0.079713044,0.07606485,0.0542726,1.7775,3.05,5.33,20,0,33.88181357469084,-116.62590026851468,0.0964695465
1,2005,1,18,Training,1,11,535057.6647,3748597.29,0,2006-03-10 00:00:00,132.344873,2006-03-10 09:47:00,2006-03-11 20:38:00,34.85,24.89,0.71,9.14,7.62,4.06,0.4660235,0.001074681,0.080441063,0.0509787,2.285,3.81,4.06,21,0,33.87713100957502,-116.62091969348755,0.11648632950000001
1,2005,1,18,Training,1,11,535057.6647,3748597.29,0,2006-02-27 00:00:00,132.344873,2006-02-27 19:21:00,2006-02-28 10:24:00,15.067,38.1,2.53,7.11,6.1,5.33,0.4660235,0.001074681,0.080441063,0.0509787,1.7775,3.05,5.33,22,0,33.87713100957502,-116.62091969348755,0.09061463925
1,2005,1,19,Training,1,11,534835.1647,3748244.79,0,2006-03-10 00:00:00,552.859276,2006-03-10 09:47:00,2006-03-11 20:38:00,34.85,24.89,0.71,9.14,7.62,4.06,5.0281906,0.0197688,0.061923843,0.0782609,2.285,3.81,4.06,23,0,33.87395922199298,-116.62333951825207,0.1788261565
1,2005,1,19,Training,1,11,534835.1647,3748244.79,0,2006-02-27 00:00:00,552.859276,2006-02-27 19:21:00,2006-02-28 10:24:00,15.067,38.1,2.53,7.11,6.1,5.33,5.0281906,0.0197688,0.061923843,0.0782609,1.7775,3.05,5.33,24,0,33.87395922199298,-116.62333951825207,0.13910874974999998
1,2005,1,20,Training,1,11,534257.6647,3747992.29,0,2006-03-10 00:00:00,1166.22,2006-03-10 09:47:00,2006-03-11 20:38:00,34.85,24.89,0.71,9.14,7.62,4.06,4.6308999,0.007514808,0.019152323,0.0969892,2.285,3.81,4.06,25,0,33.87170087160006,-116.62959354632092,0.221620322
1,2005,1,20,Training,1,11,534257.6647,3747992.29,0,2006-02-27 00:00:00,1166.22,2006-02-27 19:21:00,2006-02-28 10:24:00,15.067,38.1,2.53,7.11,6.1,5.33,4.6308999,0.007514808,0.019152323,0.0969892,1.7775,3.05,5.33,26,0,33.87170087160006,-116.62959354632092,0.172398303
0,2000,2,21,Test,3,11,732057.4531,5110115.734,1,2001-07-15 00:00:00,972.417552,,,0.0,21.082,0.0,53.848,33.528,19.304,4.29426,0.504194489,0.437903076,0.2269799,13.462,16.764,19.304,27,1,46.105163420127035,-113.99734789796749,3.0556034138
0,2000,2,22,Test,3,11,732322.4531,5109965.734,1,2001-07-15 00:00:00,1406.17,,,0.0,21.082,0.0,53.848,33.528,19.304,0.1409,0.689105988,0.546081848,0.23,13.462,16.764,19.304,28,1,46.10372517319856,-113.99399711817983,3.09626
0,2000,2,23,Test,3,11,732524.9531,5109798.234,1,2001-07-15 00:00:00,1773.31,,,0.0,21.082,0.0,53.848,33.528,19.304,0.2074,0.689556274,0.654032471,0.23,13.462,16.764,19.304,29,1,46.102150822890486,-113.99146261061067,3.09626
0,2000,2,24,Test,3,11,733557.4531,5109745.734,1,2001-07-15 00:00:00,3109.31,,,0.0,21.082,0.0,53.848,33.528,19.304,0.3075611,0.184920883,0.680323486,0.2294236,13.462,16.764,19.304,30,1,46.10132674996221,-113.97814814714305,3.0885005032
0,2000,2,25,Test,3,11,732809.9531,5109693.234,1,2001-07-15 00:00:00,2168.19,,,0.0,21.082,0.0,53.848,33.528,19.304,0.2133632,0.665076904,0.596327332,0.23,13.462,16.764,19.304,31,1,46.101110043322095,-113.98783172472179,3.09626
0,2000,2,26,Test,3,11,732372.4531,5109675.734,1,2001-07-15 00:00:00,1738.85,,,0.0,21.082,0.0,53.848,33.528,19.304,0.0802368,0.654604645,0.596081665,0.23,13.462,16.764,19.304,32,1,46.101101711524265,-113.99349288657392,3.09626
0,2000,2,27,Test,3,11,732617.4531,5109480.734,0,2001-07-15 00:00:00,2182.89,,,0.0,21.082,0.0,53.848,33.528,19.304,0.336375,0.629483528,0.617405884,0.2286256,13.462,16.764,19.304,33,1,46.09926572011022,-113.99042287654748,3.0777578272
0,2000,2,28,Test,3,11,732472.4531,5109335.734,1,2001-07-15 00:00:00,2223.41,,,0.0,21.082,0.0,53.848,33.528,19.304,0.1389688,0.597905655,0.648578003,0.23,13.462,16.764,19.304,34,1,46.098011847890945,-113.9923671706421,3.09626
0,2000,2,29,Test,3,11,733112.4531,5109435.734,1,2001-07-15 00:00:00,2774.81,,,0.0,21.082,0.0,53.848,33.528,19.304,0.043425,0.886375122,0.720507202,0.2300001,13.462,16.764,19.304,35,1,46.09869255588502,-113.98404968094086,3.0962613462
0,2000,2,30,Test,3,11,732847.4531,5109015.734,1,2001-07-15 00:00:00,2899.26,,,0.0,21.082,0.0,53.848,33.528,19.304,0.1223714,0.814659271,0.653041077,0.23,13.462,16.764,19.304,36,1,46.09500807389213,-113.98767911950061,3.09626
0,2000,2,31,Test,3,11,732752.4531,5108765.734,0,2001-07-15 00:00:00,3128.15,,,0.0,21.082,0.0,53.848,33.528,19.304,0.18776,0.76481163,0.47945694,0.196077,13.462,16.764,19.304,37,1,46.09279350251803,-113.9890287991288,2.639588574
0,2000,2,32,Test,3,11,732976.2031,5108679.484,1,2001-07-15 00:00:00,3395.51,,,0.0,21.082,0.0,53.848,33.528,19.304,0.025525,0.721407852,0.444067078,0.2299999,13.462,16.764,19.304,38,1,46.09194206419696,-113.98618060784798,3.0962586538
0,2000,2,33,Test,3,11,732762.4531,5108635.734,0,2001-07-15 00:00:00,3274.95,,,0.0,21.082,0.0,53.848,33.528,19.304,0.0350474,0.923163147,0.539607727,0.23,13.462,16.764,19.304,39,1,46.09162168842961,-113.98896325953305,3.09626
0,2000,2,34,Test,3,11,733219.9531,5108523.234,1,2001-07-15 00:00:00,3751.34,,,0.0,21.082,0.0,53.848,33.528,19.304,0.7205191,0.452968559,0.802221619,0.1994235,13.462,16.764,19.304,40,1,46.09045459226878,-113.98310848540464,2.684639157
3,2007,3,35,Training,1,11,343902.8975,3770239.803,0,2008-01-22 00:00:00,1219.86,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,2.7295666,0.876595535,0.168275986,0.2096025,1.0,1.2,2.0,41,0,34.06126639433332,-118.6914399650406,0.2096025
3,2007,3,36,Training,1,11,343945.3975,3770179.803,0,2008-01-22 00:00:00,1344.29,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,0.1944072,0.719425888,0.110799873,0.2099999,1.0,1.2,2.0,42,0,34.06073183668303,-118.69096887315605,0.2099999
3,2007,3,37,Training,1,11,343977.8975,3769909.803,0,2008-01-22 00:00:00,1685.96,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,0.0432583,0.816950836,,0.2099999,1.0,1.2,2.0,43,1,34.058302658881324,-118.6905685039067,0.2099999
3,2007,3,38,Training,1,11,342465.3975,3771054.803,0,2008-01-22 00:00:00,1000.48,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,1.7165166,0.909847412,0.281745941,0.2096428,1.0,1.2,2.0,44,0,34.06839815073015,-118.70715778652524,0.2096428
3,2007,3,39,Training,1,11,343355.3975,3769349.803,0,2007-12-01 00:00:00,991.124544,2007-12-01 14:08:00,2007-12-01 14:08:00,0.017,0.2,12.0,,,,0.1311,0.62018425,0.240223023,0.21,,,,45,1,34.05316138885801,-118.69721032818597,
3,2007,3,40,Training,1,11,343325.3975,3769219.803,0,2007-12-01 00:00:00,1002.8,2007-12-01 14:08:00,2007-12-01 14:08:00,0.017,0.2,12.0,,,,0.0259381,0.144436216,0.249970718,0.21,,,,46,1,34.05198496774861,-118.69751188142625,
3,2007,3,41,Training,1,11,343385.3975,3770789.803,0,2008-01-22 00:00:00,451.510927,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,2.9720125,0.818043442,0.066840515,0.2095306,1.0,1.2,2.0,47,0,34.066147280541294,-118.69714421392375,0.2095306
3,2007,3,42,Training,1,11,343465.3975,3770902.303,0,2008-01-22 00:00:00,433.895102,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,0.0297792,0.471340675,0.030235754,0.21,1.0,1.2,2.0,48,0,34.067173418497994,-118.69629784836867,0.21
3,2007,3,43,Training,1,11,343565.3975,3770809.803,0,2008-01-22 00:00:00,516.787202,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,0.0326591,0.763482819,0.106718994,0.21,1.0,1.2,2.0,49,0,34.066354493795096,-118.69519799685249,0.21
3,2007,3,44,Training,1,11,342825.3975,3767799.803,0,2008-01-22 00:00:00,888.605635,2008-01-23 12:44:00,2008-01-25 11:28:00,46.8,37.2,0.794872,13.5,8.625,5.2,0.4727636,0.671573029,0.067930351,0.2100001,3.375,4.3125,5.2,50,0,34.039108951365805,-118.70267115789578,0.7087503374999999
3,2007,3,45,Training,1,11,343067.8975,3767667.303,0,2008-01-22 00:00:00,975.384458,2008-01-23 12:44:00,2008-01-25 11:28:00,46.8,37.2,0.794872,13.5,8.625,5.2,0.31115,0.426220627,0.061877991,0.21,3.375,4.3125,5.2,51,0,34.037950827078795,-118.70002133613512,0.70875
3,2007,3,46,Training,1,11,343245.3975,3767584.803,0,2008-01-22 00:00:00,1127.42,2008-01-23 12:44:00,2008-01-25 11:28:00,46.8,37.2,0.794872,13.5,8.625,5.2,0.1979421,0.442148094,,0.2100001,3.375,4.3125,5.2,52,1,34.03723366665283,-118.69808442308045,0.7087503374999999
